t,x,y,z,dx,dy,dz,dv_st
3.8240332574466629e+02,-9.9144606503633126e-01,3.4353664041421594e-03,6.2299092753410835e-04,1.4329463242297017e-03,6.1679349648851023e-03,-2.2182273951064256e-03,1.1042226105928420e-12
3.8546255235062364e+02,-9.9144280041748334e-01,3.4490422421410332e-03,6.2695183142185253e-04,1.4455085515099860e-03,6.1300792328633502e-03,-2.2167931305314662e-03,1.1422671377658844e-13
3.8852177895658099e+02,-9.9143966220204394e-01,3.4633513330532884e-03,6.2982588920857210e-04,1.4580361328819296e-03,6.0926579874145403e-03,-2.2115423941805120e-03,7.1222893893718722e-13
3.9158100556253834e+02,-9.9143670233034820e-01,3.4780567057184973e-03,6.3156080191282844e-04,1.4703244720441510e-03,6.0562862972221021e-03,-2.2025740115392224e-03,1.6610138118267059e-13
3.9464023216849569e+02,-9.9143396940668271e-01,3.4929148456223345e-03,6.3212731558881183e-04,1.4821738619601897e-03,6.0215568675207054e-03,-2.1900607708080400e-03,1.4648307114839556e-12
3.9769945877445303e+02,-9.9143150748286768e-01,3.5076817567699418e-03,6.3151954594108193e-04,1.4933942631505841e-03,5.9890257140854386e-03,-2.1742446105349053e-03,1.1462252587080003e-12
4.0075868538041038e+02,-9.9142935499801232e-01,3.5221188757106514e-03,6.2975454649917746e-04,1.5038096920420713e-03,5.9591992908110125e-03,-2.1554296768182967e-03,1.5342142432928082e-12
4.0381791198636773e+02,-9.9142754391335608e-01,3.5359985809332831e-03,6.2687117633466679e-04,1.5132620672434526e-03,5.9325235963647582e-03,-2.1339736248272389e-03,5.7914294302463528e-13
4.0687713859232508e+02,-9.9142609908196899e-01,3.5491090806457500e-03,6.2292836074448216e-04,1.5216143479656451e-03,5.9093756375819817e-03,-2.1102776285430096e-03,1.8771272152662274e-12
4.0993636519828243e+02,-9.9142503786379987e-01,3.5612585137392693e-03,6.1800286685326721e-04,1.5287528987283391e-03,5.8900574677099859e-03,-2.0847756078883196e-03,1.6593839973211288e-12
4.1299559180423978e+02,-9.9142436999582906e-01,3.5722781614663350e-03,6.1218673151451728e-04,1.5345890114474583e-03,5.8747928460441967e-03,-2.0579231888076810e-03,1.9335653632879258e-12
4.1605481841019713e+02,-9.9142409769668149e-01,3.5820247283471192e-03,6.0558448371875726e-04,1.5390596241679497e-03,5.8637264151701896e-03,-2.0301868758681677e-03,2.2627878934144976e-12
4.1911404501615448e+02,-9.9142421598435759e-01,3.5903817079709481e-03,5.9831029686075159e-04,1.5421272724413303e-03,5.8569251545823597e-03,-2.0020338518431874e-03,1.8654856830835344e-12
4.2217327162211183e+02,-9.9142471317079428e-01,3.5972598998534359e-03,5.9048519095242810e-04,1.5437793702027113e-03,5.8543817777421125e-03,-1.9739227310711788e-03,1.2106727808713911e-12
4.2523249822806918e+02,-9.9142557149203714e-01,3.6025971791205777e-03,5.8223438373680432e-04,1.5440269355397572e-03,5.8560196774446460e-03,-1.9462954945622408e-03,8.7791122496128078e-13
4.2829172483402652e+02,-9.9142676783200556e-01,3.6063576451667565e-03,5.7368486512107946e-04,1.5429028856536902e-03,5.8616990009510150e-03,-1.9195707355007818e-03,1.6368459910154339e-12
4.3135095143998387e+02,-9.9142827449792870e-01,3.6085302868247896e-03,5.6496324423006155e-04,1.5404600320093101e-03,5.8712234457052315e-03,-1.8941382516385358e-03,1.8830876797437666e-12
4.3441017804594122e+02,-9.9143006001178968e-01,3.6091273025544600e-03,5.5619389444273176e-04,1.5367688924649895e-03,5.8843474013275943e-03,-1.8703549428951841e-03,9.9581666290760030e-13
4.3746940465189857e+02,-9.9143208988569886e-01,3.6081822055945133e-03,5.4749740088162356e-04,1.5319154323226915e-03,5.9007831178135017e-03,-1.8485419107791342e-03,2.5873538106679917e-12
4.4052863125785592e+02,-9.9143432735295511e-01,3.6057478265773160e-03,5.3898929801683530e-04,1.5259988341634937e-03,5.9202076400203252e-03,-1.8289826118350007e-03,1.3066921383142470e-12
4.4358785786381327e+02,-9.9143673404591182e-01,3.6018943112773438e-03,5.3077907113437096e-04,1.5191293382817825e-03,5.9422693173278862e-03,-1.8119218932181006e-03,1.4937017112970352e-12
4.4664708446977062e+02,-9.9143927059880710e-01,3.5967071865417224e-03,5.2296938724792467e-04,1.5114262438149974e-03,5.9665937664552526e-03,-1.7975657255600436e-03,1.4728866517543792e-13
4.4970631107572797e+02,-9.9144189718173037e-01,3.5902855481346825e-03,5.1565551483539346e-04,1.5030160603655496e-03,5.9927892185385190e-03,-1.7860814525145993e-03,2.0106788724660879e-12
4.5276553768168532e+02,-9.9144457395574614e-01,3.5827404026226501e-03,5.0892489025831206e-04,1.4940308621134110e-03,6.0204512414898659e-03,-1.7775983863836933e-03,1.4421995729207991e-12
4.5582476428764267e+02,-9.9144726146560014e-01,3.5741931794315627e-03,5.0285678817087631e-04,1.4846068003007123e-03,6.0491668661727394e-03,-1.7722086004932250e-03,1.4432240277528763e-12
4.5888399089360001e+02,-9.9144992096716533e-01,3.5647744113242205e-03,4.9752205630039894e-04,1.4748828010176570e-03,6.0785181874419836e-03,-1.7699677907113613e-03,7.4221752583980554e-13
4.6194321749955736e+02,-9.9145251470756046e-01,3.5546225677055556e-03,4.9298287838611698e-04,1.4649993928128780e-03,6.1080855279855850e-03,-1.7708961061937908e-03,1.0887626558542254e-12
4.6500244410551471e+02,-9.9145500616457904e-01,3.5438830147943817e-03,4.8929253432425433e-04,1.4550976529127662e-03,6.1374502785609408e-03,-1.7749788763676329e-03,1.7970334738492965e-12
4.6806167071147206e+02,-9.9145736026034104e-01,3.5327070667936261e-03,4.8649513234665207e-04,1.4453182244409009e-03,6.1661975346444242e-03,-1.7821671895332156e-03,9.8352320492267629e-13
4.7112089731742941e+02,-9.9145954356155497e-01,3.5212510865661826e-03,4.8462529458593651e-04,1.4358003677664771e-03,6.1939186587088857e-03,-1.7923783063522342e-03,1.0676216334104538e-12
4.7418012392338676e+02,-9.9146152447466673e-01,3.5096755867517057e-03,4.8370778497272999e-04,1.4266810170051082e-03,6.2202138945129937e-03,-1.8054959178595308e-03,1.0183546692132951e-12
4.7723935052934411e+02,-9.9146327345062690e-01,3.4981442805888537e-03,4.8375707594690341e-04,1.4180937881241272e-03,6.2446951529078198e-03,-1.8213702847378309e-03,1.0526273399591448e-12
4.8029857713530146e+02,-9.9146476320580801e-01,3.4868230304295205e-03,4.8477685904632590e-04,1.4101679148251279e-03,6.2669890812170337e-03,-1.8398183195193648e-03,7.2563998401165013e-13
4.8335780374125881e+02,-9.9146596896798056e-01,3.4758786422882308e-03,4.8675951334445361e-04,1.4030270754737495e-03,6.2867405088231632e-03,-1.8606236976511654e-03,3.6568380892276767e-13
4.8641703034721615e+02,-9.9146686875224832e-01,3.4654774587578744e-03,4.8968555508332209e-04,1.3967880891590898e-03,6.3036163407869106e-03,-1.8835371056240599e-03,2.2361520677804947e-12
4.8947625695317350e+02,-9.9146744366716377e-01,3.4557837074968324e-03,4.9352310168317896e-04,1.3915594719097132e-03,6.3173099400856136e-03,-1.9082767533718950e-03,3.2405368983745573e-13
4.9253548355913085e+02,-9.9146767825834592e-01,3.4469575765048513e-03,4.9822739199303077e-04,1.3874398238681593e-03,6.3275460053977550e-03,-1.9345292955150590e-03,1.1385418474674224e-13
4.9559471016508820e+02,-9.9146756087437726e-01,3.4391529965408698e-03,5.0374041429874995e-04,1.3845160962022876e-03,6.3340859099618729e-03,-1.9619513139042832e-03,5.0845555961132051e-13
4.9865393677104555e+02,-9.9146708405658091e-01,3.4325151308759686e-03,5.0999070018248522e-04,1.3828617228789993e-03,6.3367334093722416e-03,-1.9901715181964603e-03,1.3987068086862565e-12
5.0171316337700290e+02,-9.9146624493553093e-01,3.4271775959845417e-03,5.1689334740690493e-04,1.3825346796553935e-03,6.3353405807867746e-03,-2.0187938133250307e-03,4.0219165384769440e-13
5.0477238998296025e+02,-9.9146504562112858e-01,3.4232594616517317e-03,5.2435033627579555e-04,1.3835755154818618e-03,6.3298137930483112e-03,-2.0474013642188820e-03,1.1338852345943451e-13
5.0783161658891760e+02,-9.9146349356122909e-01,3.4208621063071256e-03,5.3225120125327595e-04,1.3860054469086976e-03,6.3201194515045689e-03,-2.0755617544001236e-03,1.5775207430124283e-12
5.1089084319487495e+02,-9.9146160184597598e-01,3.4200660326818154e-03,5.4047411107956632e-04,1.3898245982036533e-03,6.3062892055478770e-03,-2.1028332874657375e-03,6.5746717154979706e-13
5.1395006980083224e+02,-9.9145938943342848e-01,3.4209277799519587e-03,5.4888739562837041e-04,1.3950104855871841e-03,6.2884242715168792e-03,-2.1287724186296445e-03,1.6794074326753618e-12
5.1700929640678953e+02,-9.9145688125863762e-01,3.4234770873436764e-03,5.5735153782063025e-04,1.4015168893731769e-03,6.2666984984435237e-03,-2.1529422254810853e-03,9.5102004706859606e-13
5.2006852301274682e+02,-9.9145410820684665e-01,3.4277144834567279e-03,5.6572162147771536e-04,1.4092731946771897e-03,6.2413598018838945e-03,-2.1749217436370710e-03,1.7016660422086712e-12
5.2312774961870412e+02,-9.9145110691519545e-01,3.4336094787305997e-03,5.7385019575249060e-04,1.4181843466866246e-03,6.2127296290953593e-03,-2.1943159017910399e-03,2.1479558199644085e-12
5.2618697622466141e+02,-9.9144791938829702e-01,3.4410995298549429e-03,5.8159048310474945e-04,1.4281314878341949e-03,6.1812001758775326e-03,-2.2107657066509695e-03,9.1944821178913143e-13
5.2924620283061870e+02,-9.9144459241277794e-01,3.4500899222575506e-03,5.8879982529103558e-04,1.4389733549784872e-03,6.1472291815702906e-03,-2.2239582561617154e-03,1.5511643141508099e-12
5.3230542943657599e+02,-9.9144117676536625e-01,3.4604546733782941e-03,5.9534323395276007e-04,1.4505484746864801e-03,6.1113322518784319e-03,-2.2336361093336470e-03,1.4170538634061813e-12
5.3536465604253328e+02,-9.9143772623148019e-01,3.4720385088514130e-03,6.0109689098650416e-04,1.4626781193451625e-03,6.0740728110117992e-03,-2.2396055250866794e-03,2.0950566977262496e-12
5.3842388264849058e+02,-9.9143429645258196e-01,3.4846598980713566e-03,6.0595143440829338e-04,1.4751699834050936e-03,6.0360499490680342e-03,-2.2417431015746064e-03,1.1635478585958481e-12
5.4148310925444787e+02,-9.9143094364602768e-01,3.4981150676933132e-03,6.0981486772911661e-04,1.4878224440254741e-03,5.9978845817083570e-03,-2.2400004095500330e-03,1.0966788977384566e-12
5.4454233586040516e+02,-9.9142772324194572e-01,3.5121828442218595e-03,6.1261494758238499e-04,1.5004292674345135e-03,5.9602044767090856e-03,-2.2344063112766498e-03,1.4287885278463363e-12
5.4760156246636245e+02,-9.9142468849984422e-01,3.5266301197375200e-03,6.1430093282191587e-04,1.5127845506936258e-03,5.9236287943139621e-03,-2.2250667875662712e-03,1.4652032405138016e-12
5.5066078907231974e+02,-9.9142188916665164e-01,3.5412176936939137e-03,6.1484461712206832e-04,1.5246876914856719e-03,5.8887528403442913e-03,-2.2121622451729502e-03,1.5404541045427320e-12
5.5372001567827704e+02,-9.9141937023838600e-01,3.5557062203170286e-03,6.1424061215642012e-04,1.5359481671183657e-03,5.8561337205248476e-03,-2.1959424314850796e-03,2.0316336303949357e-12
5.5677924228423433e+02,-9.9141717088228631e-01,3.5698619910560989e-03,6.1250589495911957e-04,1.5463899157020285e-03,5.8262775211879170e-03,-2.1767192279309659e-03,1.4140736311674117e-12
